guid,description,typology
ff03aafd-7dd6-4bc8-b2da-5bdaebce37cb,"Афиша рукописная. ""Бедность не порок"". Алексин; Любители",документы
cfd43fd0-736f-45e2-9c07-f4d38633187b,Бусина,предметы археологии
df7baec8-08f9-49a2-82dd-4cc3d6a834ff,Остужев А.А. Письмо Вершилову Б.И. с благодарностью за присланную выписку из стенограммы занятий К.С. Станиславского. Упоминает относительно обещания рассказать о совместном пребывании в Барвихе с К.С. Станиславским и Леонидовым Л.М.  Подпись-автограф.,документы
a8985aca-5d03-42f5-9fc4-34cd2a681138,"Этикетка бутылочная к вину «Красное крепкое» производства Таджикской ССР, из коллекции этикеток бутылочных к винам кавказских  и среднеазиатских республик СССР",графика
50dc728a-7735-48ac-9e2f-cbe875c0627e,Значок нагрудный «Выставка достижений народного хозяйства СССР. 1967»,предметы нумизматики
8a7cdb88-0c4c-4d34-b78f-783b9d088035,Марка. 100 летие со дня рождения П.Л. Войкова (1888-1927).,предметы печатной продукции
0dcd4193-e5d1-414b-8cbe-b16c7c2a5f36,Фотография. Вид Нового канала,фотографии и негативы
a1e94b1c-8033-4894-bb0c-c43aee9eef53,Фрагмент керамики,предметы археологии
942d580c-14bc-4587-bf56-30f74bc757e2,Фотография,фотографии и негативы
2e64f5a6-b7c4-4150-ab6e-77624db251e1,"Документ. Малый энциклопедический словарь. С приложением кратких руководств по различным отраслям знания и словарей иностранных языков. Выпуск YII. Елисаветполь-Капитель. Издатели: Брокгауз, Лейпциг. Ефрон, С.-Петербург. Приложения: Зоология. Старшего зоолога Зоологического Музея Академии Наук Н.М.Книповича. ___стр.Типография Акц.Общ.Издательское Дело, бывш.Брокгауз и Ефрон,",редкие книги
2e86f7bc-7027-4fea-a6f6-9500fb16deda,Фотонегатив пленочный. Строительство нефтехимического комплекса. 7 ноября 1975 г. Шествие.,фотографии и негативы
2e3dd50d-3083-4e6b-b72d-46c96b7c79d8,Гордые цветы. Гравюра,графика
ca51d4aa-e144-4714-a445-cd482c473ba5,"Справка. Дана лейтенанту Копылову Валентину Леонидовичу, что он находится на службе в Краснознаменном Балтийском флоте, и находящаяся на его иждивении семья- жена и сын эвакуированы с полуострова Ханко. 08 февраля 1942. № 1/0802. г. Ленинград",документы
1dfe5999-fc78-4976-9bb9-8da9c92628c1,Фотография. Участники районного совещания медицинских работников,фотографии и негативы
b5bd09b9-14ac-41a6-bec1-046b16f27da5,"Микрофон петличный репортерский Бирюковой И.А. СССР. 
1970 - 80 - е гг.",предметы техники
9426ce97-b8d1-4d54-afa6-c5be62a0d66e,"Раскройно-подготовительный цех ООО ""Азовская швейная фабрика №13"".",фотографии и негативы
070e5772-058a-4272-be57-085893c0ef98,Чашка. Гербовый сервиз,"предметы прикладного искусства, быта и этнографии"
5c1edce1-e962-4d92-ad43-ae9b20854106,Письмо Общества испытателей природы при Харьковском университете Н.  М. Мартьянову с уведомлением об отправке 27-го тома своих «Трудов».,документы
8a6dc5a9-bc09-4c0b-96c1-cb97e32101b7,Значок с надписью Загорск,предметы нумизматики
08f93b49-0f21-460f-9730-dec0f1bd6730,Фрагмент стенки сосуда без орнамента,предметы археологии
2b797b41-cf96-4f15-a021-5b91ed4db1a2,Значок. Москва-80 (изображение медведя - символа XXII Олимпийских игр в Москве). Из коллекции значков и медалей,предметы нумизматики
d2b68ea4-5ec0-450f-af19-6ffcf4f880e9,"Негатив черно-белый. Наташа - А.В. Вознесенская;  Валерий - А.В. Мягков. ""Мишин юбилей"" (1994 - 2001)",фотографии и негативы
22382237-2396-4676-8b44-3e6d3d1be7f0,"Платок фестивальный с изображением Кремля, надпись в углу Москва, 1957 год","предметы прикладного искусства, быта и этнографии"
89649754-34fb-4cbb-a3cf-33ba72d1ca7b,"Газета ""Путь Октября"" № 4",предметы печатной продукции
d72a6bda-a28b-4b7b-9fcc-711d6933e298,"Фотография. Симбирск. Сад Н.М. Карамзина. Из собрания фотографий, отпечатанных в 1958 г. со стеклянных негативов, приобретенных у М.Н. Сланского.",фотографии и негативы
aad2923e-f113-4a80-80e6-211b761471c6,"Газета ""Комсомольская правда"" №40(9751), 15 февраля 1942 г.",предметы печатной продукции
7211ceed-2ed4-4ef6-ad86-63eb934ff802,"Документ ""Учетная карточка на мобилизованного Кожвинским РВК в Красную Армию Чекалина Пантелея Ивановича, 1942 г. """,документы
75ddcbc6-c401-4cf4-ab80-6d47c7bc9186,Вазочка сувенирная маленькая,"предметы прикладного искусства, быта и этнографии"
da39416f-73ae-4e5b-9cff-e631498d2709,Фото-открытка. Алексей Афанасьевич Чагин в лесу,фотографии и негативы
c2b9f281-a2fa-4987-9072-27896843af2c,"Афиша. ""Тиль Уленшпигель"" (по роману Ж. Де Костера). Новосибирск, Западно-Сибирский краевой ТЮЗ",документы
eda70aa4-e2c0-4025-b4fe-eac45408be61,Монета. Две копейки.,предметы нумизматики
22516ac2-b356-4398-bada-a8619518883a,"Спорткомплекс Автозавода им. Ленинского комсомола, г. Москва. Спорткомплекс Автозавода им. Ленинского комсомола. Регентов Юрий Андреевич; Гельфер М. Е. общий вид, панорама кадр 2",фотографии и негативы
238eb5cc-40ac-4eb9-981d-fdfcae998385,"Картина ""Книга с закладками""",графика
a44762a5-0e17-4c11-9468-3acf7ed97785,"Коллекция беспозвоночных отрядов бабочек (33штуки) и жуков (59штук). Изготовленные на кафедре энтомологической беспозвоночных Томского государственного университета, изготовлена по заказу музея в 1992-1993гг. две коробки со стеклянным верхом",предметы естественнонаучной коллекции
5cbacdbc-8a4b-4748-9c60-ad4ab1e09e83,Сосуд лепной плоскодонный.,предметы археологии
92861fb0-0614-4275-9941-6822b02597d2,Монета. 5 копеек. Россия,предметы нумизматики
8bd2d8c6-1499-4c1e-b3f9-b1f41f56b278,Польское население освобожденное Советской армией,фотографии и негативы
4cf98cf9-cdf0-4092-8950-24658af56a0b,"Монета ""2 копейки"" 1903 г.",предметы нумизматики
b39eb787-aabd-4ab0-8e10-2a02f46978c9,Документ. Коржев В.С. Подвиг уральцев в годы Великой Отечественной войны (об Уральском добровольческом танковом корпусе). Рукопись машинописная.,документы
c2ff7bcd-e082-4391-84b5-0fdedd35e477,Бумажный денежный знак. Марка.,предметы нумизматики
b140dc5c-cec1-4b38-9fd9-623ccf70bbe3,"Спичечный коробок. Фотография: бывший магазин купца И.И. Магазова недалеко от ст. Тайга Из сувенирного набора спичечных коробков ""Городу Тайга 100 лет (1896-1996)"".","предметы прикладного искусства, быта и этнографии"
0854d99f-9b31-4f3a-8378-8c9c4f087bc3,"Эскиз кулона-камеи ""Материнство""",графика
a8f15310-61cd-4938-aa5c-4356b6329e1b,подзор на кровать,"предметы прикладного искусства, быта и этнографии"
7b47c2b1-6724-4398-998f-a3bc5d525f36,«Полет».1993.,графика
1bb5f5d4-85db-438a-a8ed-d397e4fc3144,Фотография. Новосельский В.Н. среди художников фронтовиков.,фотографии и негативы
adb5a05d-da98-4cca-af47-76ae32378501,"Конверт почтовый. Из комплекта: Набор сувенирный филателистический, посвященный XII Всемирному фестивалю молодежи и студентов в Москве.",прочие
73d4b419-5f71-459a-8794-688f589d82c9,"Книга. Христианович С.А., Гальпернин В.Г. и др.
Прикладная газовая динамика./Под ред.С.А. Христиановича- М.: Издательство ""ЦАГИ"".,1948.",редкие книги
3fb75038-c968-4969-a7bc-aa57d425855e,Полотенце,"предметы прикладного искусства, быта и этнографии"
a1f8af34-c10d-4f0e-9443-72b1fe3474d1,"Негатив. Сцена. Чернышёв И. в роли Тибальда. Брегвадзе Б. в роли Миркуцио. ""Ромео и Джульетта"" (Балетмейстер Лавровский Л., художник Вильямс П.). Ленинград, Ленинградский государственный академический театр оперы и балета имени С.М.Кирова (Театр им. Кирова)",документы
8bb8ad92-0793-4454-afa9-03a19b784da3,"Игрушка елочная ""Апельсин"".","предметы прикладного искусства, быта и этнографии"
fefe7cf6-888b-40e6-b07e-b56c36717d32,"Подгурская [Марианна] Александровна. Письмо к Сухоцкой Нине Станиславовне о статье для сборника, посвященного А.Я. Таирову.",документы
f0953bd6-0948-4a27-8cba-523ce1e9fe79,"Значок ""Дом отдыха ""Утёс""",предметы нумизматики
bf5e134e-08b9-4c7d-b8e8-4f15db02206c,"Фотооткрытка. Ермолова М.Н. в роли Кручининой, Остужев А.  в роли Незнамова и Сашин В. в роли Шмаги. ""Без вины виноватые"". Москва, Малый театр",документы
db493b1c-1cad-4f70-bef5-fc9ae210fd50,Скульптурная композиция. Женщина с ребенком,скульптура
0442ab9d-5d13-4c0b-90a9-04e2ce3cc7f7,"""Я живу в последний раз...""// Учительская газета",прочие
8cd027c1-9eb6-45d1-9ef3-9f95a3c247c0,С. Есенин в ночном. Репродукция работы худ. Руднева В. В.   ,предметы печатной продукции
9565a7d4-28ad-4e5e-b3a1-4bc706d7115f,"Газета. ""Красный днепровец"" № 54.",предметы печатной продукции
b02e6724-d123-4338-bfd9-05e29d1f4074,Пяцьсот рублёу,предметы нумизматики
2d99c4a8-78ed-4d45-8e4a-b1948f8b5989,"Знак нагрудный ""Ударник коммунистического труда""",предметы нумизматики
79de35c0-2a3b-4837-a49e-788a3f845320,"Книга ""Тутовый шелкопряд.т.1.""",редкие книги
5e75c131-c8fd-4248-8ff1-77cfa6d51ae1,"Образец ткани Киржачского шелкового комбината ""Тюльпан"" из альбома №681",прочие
6f1bfa2f-f768-44a4-8db5-05a19d08fa29,"Негатив. ""Алехна С.В. - воин-интернационалист, 1988 г.""",фотографии и негативы
ae029924-7a73-4535-ace3-3cca3e3ecf13,Благодарность Кучину Сергею Павловичу.,документы
4f8f1889-c0db-4909-8bfd-5f8ce32d4e10,"Приказы №4, №5, №6, №7, №8 по Ельнинскому отделу народного образования о назначении на должности по школам директоров, завучей, педагогов.",документы
e07e7ffd-a3eb-4611-acce-f4742416241c,Монета. 1 копейка. Российская империя,предметы нумизматики
a60afd4f-6631-4363-bb7b-9ad2dbe39146,Фотография двух мужчин в религиозной одежде.,документы
d58d1f05-5c12-49ce-b6ab-223116a131bb,Ковер – аас тэллэх,"предметы прикладного искусства, быта и этнографии"
452d6c2c-f8c0-485f-bcb9-e2538eef47ad,Письмо Б.А.Сокольского знакомой Вере с новостями на бытовые темы,документы
8ae8038a-1072-4581-8cd9-8259b147fab8,Книга. Ко львам христиан! : Повесть из первых веков христианства.,редкие книги
118a26a8-1a28-44dc-80a1-84c5f8c4c811,Группа делегатов совещания передовиков с/хозяйства.,фотографии и негативы
6042adf2-4737-49f8-88d5-a9bb65e516b0,"Монета. Швеция. Густав II, Адольф. Талер. 1633 г.",предметы нумизматики
e6ef4c96-7796-455b-b139-f01ed6a9df37,Автолитография. Портрет М. Цветаевой. 1986.,графика
a9322fbb-fdc1-41cb-989f-b0eebacaafd1,Лиса. Рисунок,графика
3e765038-9f49-49ad-8900-3f3e196c11b2,"Медаль ""В память 250-летия Ленинграда"" из комплекта наград, принадл. кап. 1 ранга Стремохину И.Г. (№ 44970/1-6; /2 - искл. по акту № 13 от 12.10.01г.)",предметы нумизматики
e16b955b-3f28-490b-b7d3-c754e1e312f8,"картина ""Отражение""",графика
16076f39-74cc-4e04-8477-1c1fbdc73106,Монета. Польша. Сигизмунд III. Полторак. 1626 г.,предметы нумизматики
6812fbc4-629c-4b58-87ce-fc4368a73606,"эскиз кадра к макету диафильма. Лист № 21: Деды - Морозы мчаться к детям
Фильм: Деды-Морозы",графика
8244e63f-3d69-4370-9022-e0694d99e525,Значок. Гимнастика. XXII летние Олимпийские игры в Москве. Из коллекции значков и медалей,предметы нумизматики
b227c62d-4a0a-44d8-84fd-bc0f3cb8f3f3,"Фотоотпечаток. Спектакль ""Раскинулось море широко"", артистка балета - И.В. Пельцер.",фотографии и негативы
5c5bae32-6d00-4533-b13c-13c36d5a631f,Фото на паспарту. В. Юртов. На оборотной стороне надпись,документы
c168582d-3ec4-497c-b167-efdde3fa7c87,Фрагмент керамики.,предметы археологии
218ffe4b-5e93-48dd-89a1-280a47dbd474,"Часы настенные с боем фирмы ""Le Roi a Paris"".",предметы техники
bc4fe2ed-ed3c-4c01-9595-ec269225737d,«История русской словесности»:  Учебник для средних учебных заведений,редкие книги
491023af-6b62-4836-b819-27727fcc1257,"Декорация. ""Беседы с Сократом""",живопись
a455cfdc-1baf-43ce-b2e0-38c6d59f7e71,Марки гашеные для коллекции народной республики Болгарии,предметы нумизматики
a145cad9-671b-4f71-8956-7ba41d797ed2,"Газета ""Вперед"" № 59",документы
4f01bb10-6085-49aa-be6f-eddd869d6d4e,"Фотонегатив пленочный. Ольга Голубева-Перес, тоболячка, участница Великой Отечественной войны, почетный член бригады Стиблевского (ССМУ-4), в гостях у бригады. Каменщики.",фотографии и негативы
8e2ecd50-8743-450c-b91e-39ea81571bc0,Рукавицы женские,прочие
00977884-151f-4fab-98d4-ccaf9886000e,Гербарий. Линнея северная. Linnaea borealis,предметы естественнонаучной коллекции
d4794403-a137-46c3-be7b-55acbb332457,Кроватка для кукол,прочие
a01ed39a-a60c-45c3-9bee-e2a9e536eba3,"Часы настольные с термометром и барометром. ""Маяк""",предметы техники
f6d06443-fc01-4d43-990b-ec1e58a03cbb,"Открытка цветная "" Слава Великому Октябрю!"" 1975 г.",предметы печатной продукции
97acb687-2f94-4643-b357-be20dc6fb679,Сливочник,"предметы прикладного искусства, быта и этнографии"
2fdbfd12-7ef9-4b80-90aa-a238d56293ea,Памятник императору Александру III. 1912 г. г. Москва. Памятник имп. Александру III около храма Христа Спасителя. Опекушин А. М.; Померанцев Андрей Никанорович. Центральная лестница подхода к памятнику. Фрагмент,фотографии и негативы
39a8d39d-6be0-4b7e-bfdf-ba5798f22555,"Фотография. Драм. т-р, г. Паневежис, премьера - 1945 г. Гашка - К. Виткус - сидит, погрудно, 3/4 влево, во рту - трубка. ""В сумерках"" (пост. Ю. Мильтинис, худ. И. Суркявичюс)",документы
8ebb380e-d1be-4006-9257-43f76ef83243,5 копеек,предметы нумизматики
d3ff4bf7-a9bd-479f-a771-d5b2142f436b,Денежные знаки. Государственный билет 250 рублей.,предметы нумизматики
d1bd988c-f48c-40a1-85d5-e0e1c8ad77a8,Бегун четырехточечный (Harpalus guadripunctaty).,предметы естественнонаучной коллекции
e02ee9fe-f0b9-4088-9ad1-fc2d9c7b59b3,Фотография чёрно-белая. Копия. Переправа через р. Торговую.,фотографии и негативы
b884b100-2ba8-47a5-ab4b-def1cb34da3e,Пейзаж.,графика
1076c98c-bad3-4b49-b5ec-1d6e08020887,Лист почтовых марок,графика
ae5aeed1-2346-45d5-9f8c-7565c11924c3,Образец плетения корзинки из кедрового корня.,"предметы прикладного искусства, быта и этнографии"
331b7c43-ef06-4232-af1d-8cbbee0671a3,Домашняя хозяйственная утварь из дерева и металла. Рубель из дерева для глажения,"предметы прикладного искусства, быта и этнографии"
6fda44a8-f19b-4194-9cb7-eb5e0bfd83fe,Книга. Памятники народного творчества в Олонецкой губернии,редкие книги
568eab70-21ee-4124-baa7-ea21d156d0fb,Средняя дизель-электрическая подводная лодка проекта 613,фотографии и негативы
11131c36-1776-40f5-bd55-ddf2338e549a,Коробка с костяными бирюльками: тарелка,"предметы прикладного искусства, быта и этнографии"
222cbdf2-ea16-49ae-a31d-bb7864b74461,Игрушка - свистулька «Барыня с бараном».,"предметы прикладного искусства, быта и этнографии"
c7f6a1e5-08d5-4698-a2a2-3e51c9257023,"Двойная открытка. ""Слава Великому Октябрю!""",предметы печатной продукции
50bc1ecb-bc88-4275-a249-4b852004cdd3,"Билет на балет ""Жизель"" 22 декабря 1957 г. ""Жизель"". Адан А.; ""Жизель"" 1955, балетм. Лавровский Л.М. (возобновление), Лавровский Л.М. (возобновление), Коралли Ж. (хореография), Петипа М.И. (хореография), Перро Ж. (хореография), худ. Волков Б.И., худ. по костюмам Самохвалов С.К.",предметы печатной продукции
14c3c54a-ceb4-4525-8479-4ebdfdccd144,Фотомонтаж Минераловодских служащих и рабочих 1902 г. Передан в музей дочерью машиниста Минераловодского депо Шапошникова В.И. Еланской З.В.,фотографии и негативы
9281cfd1-a036-4af2-97b8-acc8740e60a1,Ложка деревянная.,прочие
a8e9bc35-4dd6-4f79-97b6-7943f09689b8,"Фотография. Ельник кисличник. Лесная дача ""Изониха"" Тотемского района Вологодской области.",фотографии и негативы
c2532577-987c-4d31-bbd2-2985f0ff906e,"Открытка ""С Новым Годом!""",предметы печатной продукции
ca36ae0e-17a3-4bec-871c-123fd5a3a700,"Книга. Избранные сатиры. Серия ""Русская классная библиотека"", издаваемая под ред. А.Н. Чудинова. Пособие при изучении русской литературы. Вып. 12. Издание И. Глазунова. - СПб.: Типография Глазунова, 1892 г.",редкие книги
f59f5853-3236-483f-8be3-55f4e2dfedb6,Кроки,графика
8a667f31-42d8-4d77-bd2c-2ffbba96db55,Фрагмент лепного сосуда,предметы археологии
9b76b9ec-4c8c-40a9-b10f-60a60a9a6cd7,Орнаментированный фрагмент керамики,предметы археологии
1077cf4d-b195-49ee-9a2e-843b3b661a7c,Лист гербарный. Башмачок капельный (Cypripedium guttatum),предметы естественнонаучной коллекции
4d6eeecc-ced6-42ab-83e7-ba08d31cc1e9,Монета ½ новых пенни 1971г. Великобритания.,предметы нумизматики
5f1b6a08-1b03-4911-8a16-466422ce0e2e,Монета. Римская империя. Константин I (для Елены),предметы нумизматики
1d33f11c-2154-4621-8882-8fcb14cd863e,Пузырек.,"предметы прикладного искусства, быта и этнографии"
6e503681-0953-4867-86e1-2d9635f57170,"Фотография чёрно-белая ""Представление на мероприятии в школе""",фотографии и негативы
907fba30-5c6a-437f-82af-658ae5c7b174,"Фотография. Сцена из спектакля. Степанова Г.Д.  в роли Старшей Матери, Полупарнев В.И. в роли Сафы. ""Долгое-долгое детство"" (Реж. Исрафилов Р.В., худ. Еникеев Т.Г.). Москва, Центральный детский театр (ЦДТ)",фотографии и негативы
8709dc30-199f-4af1-8473-54739b20dfcf,В.И. Ленин,предметы печатной продукции
55a1e22e-3bdb-4292-8145-6917347b5b89,Письмо Орлову В.А.,документы
c7f8a3cb-4cd1-4700-9f95-59ab986335e6,Нож с обоймой,предметы археологии
3c5e5b64-3e2d-4e00-9275-bae14dbfd379,Книга. С.Витковская. Кругом Земли.,предметы печатной продукции
8de938ad-f52f-4613-ab16-ea7f8c7eb64b,"Gottlieb Wilhelm Rabeners Satirien. Vierte und letzter Theil. Nec.Luvisse.Pudet sed. Non. Incidere. Ludum. - Leipzig : im Verlag der Dyckischen Buchhandlung, 1764.",редкие книги
4ea6ee58-23b8-483e-8b6d-e88ce25b4442,Сувенир. Ежик.,"предметы прикладного искусства, быта и этнографии"
27b3fba7-2618-43d4-beeb-90dbd4eece95,Портрет молодой женщины.,графика
230ccba8-b2d1-42e8-9f86-427c8a388747,"Церковь около Новгорода, построенная при царе Иоанне Грозном. - гравюра из альбома с иллюстрациями из ""Памятных книжек"". [Памятная книжка на 1860 год.]",редкие книги
a615bf76-d31b-45be-909d-70fc111504ac,С произведения Я. Бассано,графика
b679ce7c-a063-413f-a504-0babecd45a2f,Жердь для оваа (место для приношений духам),"предметы прикладного искусства, быта и этнографии"
d22dcfdf-7a41-4bf6-9663-460117884f6f,"Сосуд. Коллекция материалов раскопок 1989 г. на памятнике Кузнецкий острог, раскоп 7.",предметы археологии
60a51dcc-2451-48b8-ad4d-296f35e111e0,"Зуб. Акула. Palaeoanacorax obliquus (Reuss, 1845). Классификация: Хордовые Chordata, Позвоночные Vertebrata, Хрящевые рыбы Chondrichthyes, Пластиножаберные Elasmobranchii, Акулы Selachii, Ламнообразные Lamniformes",предметы естественнонаучной коллекции
e7514ecd-2c8e-4eb0-aeff-99b53624a5cf,"Негатив. Салфетка. Кружево мерное. Техника парная. Нитка х/б. Пос. Рыбная слобода. Татарская АССР. Первая половина ХХ в. Материалы из коллекции ""Фототека НИИХП""",фотографии и негативы
f371dc79-a2f5-497a-ac75-2403feab3632,"Духи ""Красная Москва""","предметы прикладного искусства, быта и этнографии"
ba2cb9ff-fd90-49a3-9ef8-199e3e6916f6,«Шушенский мотив» ,живопись
3331eb2e-3205-4035-8edb-abd39895c792,"Значок ""Канск. Герб"". СССР",предметы нумизматики
4523551d-3652-40a1-b197-e7fda7020dab,"Музыкальная рукопись. ""Песня о Дзержинском"". Для голоса и ф-но. Слова П. Железнова.",документы
73bb2cf5-d07d-4064-bdb7-09c3ed17e7ef,"Значок ""Мостоотряд-9. БАМ""",предметы нумизматики
70b4412e-b66b-4a1a-a89a-f1c7ddfc380b,"Швейная машинка ""Зингер""",предметы техники
0736df95-ccd9-4af4-9f86-b68f1103d279,"Фрагмент железного изделия. Фрагмент гвоздя. Археологическая коллекция из раскопок Городища Бухта Находка, 2007-2008 гг.",предметы археологии
0f5ad1f9-63e4-4f38-8169-5e220d798bfa,Окаменелое дерево.,предметы минералогической коллекции
a53e11d2-73c8-495d-a3f9-f23f2725e05e,Монета 5 копеек 1784 г. ЕМ. Екатерина II.,предметы нумизматики
85c0a87f-c2b0-41d2-b899-3f6b923fa454,"Значок, посвященный А.Ф.Цандеру.",предметы нумизматики
a9f00eb2-587f-4049-a33f-62858c434f90,Фотография. Большетарханский лесопункт Тетюшского леспромхоза. Сквозная бригада Репьева,фотографии и негативы
